loan_id,customer_id,loan_type,principal_idr,interest_rate_annual,tenure_months,disbursement_date,monthly_installment_idr,outstanding_idr,status,due_date,last_payment_date
LON0239,NBC0057,personal,30836337,0.1514,12,2022-08-27,2785273,13316936,active,2023-08-28,2024-03-02
LON0240,NBC0905,personal,45271134,0.2013,12,2024-03-06,4196486,0,paid_off,2025-03-07,2024-08-06
LON0241,NBC0537,personal,18115035,0.2144,24,2023-06-16,934773,15517713,active,2025-06-17,2024-08-22
LON0242,NBC0745,personal,31438241,0.1994,24,2022-09-24,1599153,0,paid_off,2024-09-25,2023-05-13
LON0243,NBC0938,personal,13192628,0.1541,48,2022-04-07,369908,8343073,active,2026-04-10,2024-10-09
LON0244,NBC0941,personal,30991783,0.2242,36,2023-02-16,1190335,21986159,active,2026-02-18,2023-12-30
LON0245,NBC0678,modal_usaha,40743536,0.1476,36,2023-05-17,1407604,31173083,active,2026-05-19,2024-08-15
LON0246,NBC0966,kredit_barang,25502626,0.184,12,2024-03-22,2342938,14906090,overdue,2025-03-23,2024-07-12
LON0247,NBC0620,kredit_barang,28146168,0.1472,12,2024-03-06,2536708,21708311,active,2025-03-07,2024-08-22
LON0248,NBC0717,personal,7675590,0.1978,36,2022-12-02,284393,0,paid_off,2025-12-04,2024-12-06
LON0249,NBC0909,kredit_barang,27154388,0.2265,48,2023-02-19,865139,21906099,active,2027-02-22,2024-08-05
LON0250,NBC0764,kredit_barang,6426256,0.1737,48,2022-03-29,186662,4738809,written_off,2026-04-01,
LON0251,NBC0074,personal,13568972,0.1909,24,2022-09-27,684587,4515304,active,2024-09-28,2022-11-28
LON0252,NBC0878,personal,44807423,0.2389,48,2022-08-29,1458081,0,paid_off,2026-09-01,2024-01-16
LON0253,NBC0901,modal_usaha,168966668,0.18,24,2022-10-01,8435509,77555110,active,2024-10-02,2023-11-09
LON0254,NBC0098,personal,6346515,0.1923,12,2024-03-21,585570,0,paid_off,2025-03-22,2024-07-31
LON0255,NBC0676,personal,7232053,0.2174,36,2022-09-07,275224,3721687,active,2025-09-09,2022-11-10
LON0256,NBC0542,kredit_barang,12119115,0.1319,24,2024-04-24,577247,9744038,active,2026-04-26,2024-08-17
LON0257,NBC0146,modal_usaha,21539646,0.1241,24,2022-08-23,1018075,16264754,active,2024-08-24,2024-01-28
LON0258,NBC0535,modal_usaha,71667489,0.1878,24,2022-08-17,3605003,51944251,active,2024-08-18,2024-07-06
LON0259,NBC0089,kredit_barang,23699244,0.1454,12,2022-06-11,2133913,13926196,active,2023-06-12,2023-01-17
LON0260,NBC0228,personal,41782389,0.1848,48,2022-12-07,1237862,0,paid_off,2026-12-10,2023-08-22
LON0261,NBC0114,personal,22840782,0.1925,24,2024-05-25,1154148,13332008,active,2026-05-27,2024-09-02
LON0262,NBC0751,personal,10925416,0.2267,24,2022-05-31,570412,0,paid_off,2024-06-01,2024-02-20
LON0263,NBC0739,personal,34217617,0.1703,6,2022-10-18,5989532,16766644,overdue,2023-04-19,2023-09-25
LON0264,NBC0317,personal,12232848,0.1317,6,2024-02-25,2117836,8674943,active,2024-08-26,2024-09-23
LON0265,NBC0809,kredit_barang,14961789,0.2382,36,2024-05-06,585581,5327463,overdue,2027-05-09,2024-07-17
LON0266,NBC0153,personal,18801539,0.1569,24,2023-11-02,917799,0,paid_off,2025-11-03,2024-11-21
LON0267,NBC0985,personal,13285332,0.2076,24,2022-09-04,681110,0,paid_off,2024-09-05,2024-06-11
LON0268,NBC0334,personal,46190390,0.2363,12,2023-09-22,4359478,16688093,active,2024-09-22,2024-04-01
LON0269,NBC0585,personal,30435053,0.1729,48,2022-10-08,882778,0,paid_off,2026-10-11,2022-12-20
LON0270,NBC0234,kredit_barang,8827405,0.2091,36,2022-03-24,332165,5367917,written_off,2025-03-26,
LON0271,NBC0324,personal,48146908,0.2368,36,2023-08-02,1880860,34636900,active,2026-08-04,2025-01-24
LON0272,NBC0796,personal,17661925,0.216,24,2023-06-01,912783,8785598,active,2025-06-02,2024-02-14
LON0273,NBC0718,personal,18280628,0.2018,48,2023-07-02,558041,12738081,overdue,2027-07-05,2024-04-09
LON0274,NBC0942,modal_usaha,21604984,0.2242,6,2023-03-17,3839926,5390683,active,2023-09-16,2023-09-24
LON0275,NBC0707,modal_usaha,172018861,0.2065,48,2022-07-03,5294354,0,paid_off,2026-07-06,2024-12-16
LON0276,NBC0318,personal,9558302,0.179,36,2024-05-06,345076,6784017,active,2027-05-09,2024-11-18
LON0277,NBC0439,kredit_barang,16659971,0.2296,24,2023-12-11,872207,9377451,active,2025-12-12,2024-11-15
LON0278,NBC0159,kredit_barang,8343918,0.219,36,2022-01-25,318227,6389775,active,2025-01-27,2023-06-16
LON0279,NBC0957,personal,29918913,0.1662,36,2022-02-17,1061041,0,paid_off,2025-02-19,2024-07-07
LON0280,NBC0018,kredit_barang,23843722,0.1509,6,2022-09-25,4150679,6730191,active,2023-03-27,2023-10-18
LON0281,NBC0130,modal_usaha,67847863,0.1713,48,2022-01-26,1962319,0,paid_off,2026-01-29,2023-10-22
LON0282,NBC0485,personal,46458804,0.228,36,2023-09-26,1793568,32351176,active,2026-09-28,2024-04-30
LON0283,NBC0419,personal,25443088,0.1389,6,2024-03-28,4413956,14744013,active,2024-09-27,2025-02-28
LON0284,NBC0823,modal_usaha,127722492,0.1337,24,2023-09-07,6094381,66549933,overdue,2025-09-08,2024-06-08
LON0285,NBC0373,personal,44645985,0.239,48,2023-09-17,1453074,21674146,active,2027-09-20,2024-02-16
LON0286,NBC0714,kredit_barang,4995978,0.1487,6,2022-02-22,869147,3885998,active,2022-08-24,2022-11-23
LON0287,NBC0369,personal,8941246,0.2305,24,2023-01-22,468505,7902975,active,2025-01-23,2023-07-29
LON0288,NBC0694,modal_usaha,81680313,0.1407,24,2022-02-07,3924409,0,paid_off,2024-02-09,2022-08-23
LON0289,NBC0711,modal_usaha,88168239,0.2375,48,2023-05-09,2862274,0,paid_off,2027-05-12,2023-07-12
LON0290,NBC0059,modal_usaha,50486842,0.1203,24,2023-06-26,2377298,0,paid_off,2025-06-27,2023-12-07
LON0291,NBC0302,personal,34680554,0.1921,24,2023-03-01,1751739,0,paid_off,2025-03-02,2024-02-15
LON0292,NBC0680,personal,49343191,0.1723,6,2022-06-08,8642058,44056880,active,2022-12-08,2022-10-08
LON0293,NBC0943,kredit_barang,15610560,0.1622,12,2023-02-26,1417985,6258933,overdue,2024-02-27,2024-02-09
LON0294,NBC0299,modal_usaha,99834941,0.179,24,2022-09-20,4979347,0,paid_off,2024-09-21,2023-02-01
LON0295,NBC0643,personal,21421947,0.1823,36,2022-02-06,776929,7646113,active,2025-02-08,2023-12-16
LON0296,NBC0752,personal,19720003,0.2392,12,2022-08-25,1863952,12195759,active,2023-08-26,2024-09-21
LON0297,NBC0383,modal_usaha,165108684,0.135,12,2024-01-26,14785817,44478818,active,2025-01-26,2024-03-02
LON0298,NBC0245,kredit_barang,11824416,0.191,6,2022-08-29,2081967,10586818,written_off,2023-02-28,
LON0299,NBC0326,personal,48311870,0.2167,48,2023-11-18,1513475,38310345,active,2027-11-21,2024-11-27
LON0300,NBC0830,modal_usaha,10919680,0.1264,36,2024-02-06,366037,0,paid_off,2027-02-08,2024-06-10
